OK core gate: countermodel proof-safety gates (non-promotion guards, 0.369s)
OK core gate: result-language boundary scan (non-promotion guards, 0.652s)
OK core gate: output artifact status manifest (non-promotion guards, 0.331s)
OK core gate: output reference integrity (non-promotion guards, 0.776s)
OK core gate: proof-claim ledger (non-promotion guards, 0.434s)
OK core gate: signed-Hankel/Jensen dependency graph (non-promotion guards, 0.222s)
OK core gate: signed-Hankel finite certificates (promoted finite evidence, 0.192s)
OK core gate: Toeplitz/PF finite certificates (promoted finite evidence, 0.275s)
OK core gate: Toeplitz/Jacobi-Trudi reindexing (exact theorem-search algebra, 2.196s)
OK core gate: Hankel sign-consistency reduction point audits (finite theorem-search diagnostics, 0.218s)
OK core gate: Hankel sign-consistency reduction finite certificates (promoted finite evidence, 10.841s)
OK core gate: shifted Hankel staircase finite certificates (promoted finite evidence, 55.272s)
OK core gate: Jensen/Hankel bridge algebra gate (exact theorem-search algebra, 0.164s)
OK core gate: Jensen-window PF obligation algebra gate (exact theorem-search algebra, 0.155s)
OK core gate: Arb Jensen-window PF obligation finite diagnostics (finite theorem-search diagnostics, 0.168s)
OK core gate: Arb Jensen-window Sturm hyperbolicity finite diagnostics (finite theorem-search diagnostics, 0.195s)
OK core gate: Arb Jensen-window Sturm degree-5 hyperbolicity finite diagnostics (finite theorem-search diagnostics, 0.183s)
OK core gate: finite Sturm-to-PF Jensen-window consequences (promoted finite evidence, 0.193s)
OK core gate: signed-Hankel/Jensen bridge target specification (open theorem target hygiene, 0.205s)
OK core gate: Jensen-window PF bridge target (open theorem target hygiene, 0.174s)
OK core gate: Jensen-window PF bridge obligation ledger (open theorem target hygiene, 0.199s)
OK core gate: Jensen-window PF theorem machinery fit matrix (open theorem target hygiene, 0.199s)
OK core gate: Jensen-window PF sign-regular transfer gap matrix (finite theorem-search diagnostics, 0.197s)
OK core gate: Jensen-window PF factorial multiplier split audit (finite theorem-search diagnostics, 0.169s)
OK core gate: Jensen-window PF structural ansatz matrix (open theorem target hygiene, 0.171s)
OK core gate: Jensen-window PF Schur shape contract (exact theorem-search algebra, 0.18s)
OK core gate: Jensen-window PF column recurrence contract (exact theorem-search algebra, 0.181s)
OK core gate: Jensen-window PF column recurrence finite coverage (finite theorem-search diagnostics, 0.182s)
OK core gate: Arb Jensen-window column recurrence stress (finite theorem-search diagnostics, 0.307s)
OK core gate: Jensen-window PF reciprocal coefficient extended stress (finite theorem-search diagnostics, 1.14s)
OK core gate: Jensen-window PF reciprocal positivity route matrix (open theorem target hygiene, 0.173s)
OK core gate: Jensen-window PF reciprocal fraction scout (finite theorem-search diagnostics, 0.183s)
OK core gate: Jensen-window PF reciprocal signed J-fraction scout (finite theorem-search diagnostics, 0.259s)
